Categoria,Ano,Mês,Localidade,Valor Índice
Categoria Desconhecida,2020,07,Brasil,124.73325
Categoria Desconhecida,2020,08,Brasil,113.22666
Categoria Desconhecida,2020,09,Brasil,117.17992
Categoria Desconhecida,2020,10,Brasil,115.01643
Categoria Desconhecida,2020,11,Brasil,105.42711
Categoria Desconhecida,2020,12,Brasil,106.94991
Categoria Desconhecida,2021,01,Brasil,101.60506
Categoria Desconhecida,2021,02,Brasil,109.00099
Categoria Desconhecida,2021,03,Brasil,119.11942
Categoria Desconhecida,2021,04,Brasil,111.26475
Categoria Desconhecida,2021,05,Brasil,122.4509
Categoria Desconhecida,2021,06,Brasil,123.13728
Categoria Desconhecida,2021,07,Brasil,125.99677
Categoria Desconhecida,2021,08,Brasil,124.22281
Categoria Desconhecida,2021,09,Brasil,99.28711
Categoria Desconhecida,2021,10,Brasil,102.88935
Categoria Desconhecida,2021,11,Brasil,116.56739
Categoria Desconhecida,2021,12,Brasil,121.13929
Categoria Desconhecida,2022,01,Brasil,82.04222
Categoria Desconhecida,2022,02,Brasil,94.18731
Categoria Desconhecida,2022,03,Brasil,97.55255
Categoria Desconhecida,2022,04,Brasil,102.81475
Categoria Desconhecida,2022,05,Brasil,120.44867
Categoria Desconhecida,2022,06,Brasil,109.93592
Categoria Desconhecida,2022,07,Brasil,107.80281
Categoria Desconhecida,2022,08,Brasil,108.53953
Categoria Desconhecida,2022,09,Brasil,99.62555
Categoria Desconhecida,2022,10,Brasil,92.06508
Categoria Desconhecida,2022,11,Brasil,91.19189
Categoria Desconhecida,2022,12,Brasil,93.79372
Categoria Desconhecida,2023,01,Brasil,93.42474
Categoria Desconhecida,2023,02,Brasil,86.52981
Categoria Desconhecida,2023,03,Brasil,98.06357
Categoria Desconhecida,2023,04,Brasil,86.15946
Categoria Desconhecida,2023,05,Brasil,99.13035
Categoria Desconhecida,2023,06,Brasil,105.89262
Categoria Desconhecida,2023,07,Brasil,102.43641
Categoria Desconhecida,2023,08,Brasil,106.93926
Categoria Desconhecida,2023,09,Brasil,91.23909
Categoria Desconhecida,2023,10,Brasil,95.84907
Categoria Desconhecida,2023,11,Brasil,92.19394
Categoria Desconhecida,2023,12,Brasil,92.06384
Categoria Desconhecida,2024,01,Brasil,99.09435
Categoria Desconhecida,2024,02,Brasil,98.2381
Categoria Desconhecida,2024,03,Brasil,98.23068
Categoria Desconhecida,2024,04,Brasil,106.02536
Categoria Desconhecida,2024,05,Brasil,103.57825
Categoria Desconhecida,2024,06,Brasil,100.66406
Categoria Desconhecida,2024,07,Brasil,107.41518
Categoria Desconhecida,2024,08,Brasil,109.96972
Categoria Desconhecida,2024,09,Brasil,102.90324
Categoria Desconhecida,2019,01,Brasil,166.17594
