Categoria,Ano,Mês,Localidade,Valor Índice
 Outros serviços prestados às famílias,2024,02,Brasil,106.68426
 Outros serviços prestados às famílias,2024,03,Brasil,121.88706
 Outros serviços prestados às famílias,2024,04,Brasil,113.5131
 Outros serviços prestados às famílias,2024,05,Brasil,110.71005
 Outros serviços prestados às famílias,2024,06,Brasil,115.6498
 Outros serviços prestados às famílias,2024,07,Brasil,124.83958
 Outros serviços prestados às famílias,2024,08,Brasil,119.08241
 Outros serviços prestados às famílias,2024,09,Brasil,147.60502
 Outros serviços prestados às famílias,2020,10,Brasil,103.91955
 Outros serviços prestados às famílias,2020,11,Brasil,102.93063
 Outros serviços prestados às famílias,2020,12,Brasil,104.8573
 Outros serviços prestados às famílias,2021,01,Brasil,104.26335
 Outros serviços prestados às famílias,2021,02,Brasil,101.58356
 Outros serviços prestados às famílias,2021,03,Brasil,103.92068
 Outros serviços prestados às famílias,2021,04,Brasil,103.09077
 Outros serviços prestados às famílias,2021,05,Brasil,103.67834
 Outros serviços prestados às famílias,2021,06,Brasil,103.12069
 Outros serviços prestados às famílias,2021,07,Brasil,104.58601
 Outros serviços prestados às famílias,2021,08,Brasil,106.03726
 Outros serviços prestados às famílias,2021,09,Brasil,105.24365
 Outros serviços prestados às famílias,2021,10,Brasil,105.76
 Outros serviços prestados às famílias,2021,11,Brasil,106.03003
 Outros serviços prestados às famílias,2021,12,Brasil,106.92142
 Outros serviços prestados às famílias,2022,01,Brasil,104.01613
 Outros serviços prestados às famílias,2022,02,Brasil,98.16611
 Outros serviços prestados às famílias,2022,03,Brasil,99.81313
 Outros serviços prestados às famílias,2022,04,Brasil,98.79189
 Outros serviços prestados às famílias,2022,05,Brasil,100.7242
 Outros serviços prestados às famílias,2022,06,Brasil,101.80134
 Outros serviços prestados às famílias,2022,07,Brasil,100.13461
 Outros serviços prestados às famílias,2022,08,Brasil,99.70281
 Outros serviços prestados às famílias,2022,09,Brasil,100.29914
 Outros serviços prestados às famílias,2022,10,Brasil,98.57485
 Outros serviços prestados às famílias,2022,11,Brasil,98.4776
 Outros serviços prestados às famílias,2022,12,Brasil,99.49821
 Outros serviços prestados às famílias,2023,01,Brasil,100.44292
 Outros serviços prestados às famílias,2023,02,Brasil,99.35859
 Outros serviços prestados às famílias,2023,03,Brasil,102.6623
 Outros serviços prestados às famílias,2023,04,Brasil,102.20284
 Outros serviços prestados às famílias,2023,05,Brasil,104.67746
 Outros serviços prestados às famílias,2023,06,Brasil,103.78302
 Outros serviços prestados às famílias,2023,07,Brasil,104.93813
 Outros serviços prestados às famílias,2023,08,Brasil,105.62601
 Outros serviços prestados às famílias,2023,09,Brasil,105.14272
 Outros serviços prestados às famílias,2023,10,Brasil,106.82779
 Outros serviços prestados às famílias,2023,11,Brasil,106.23464
 Outros serviços prestados às famílias,2023,12,Brasil,108.93834
 Outros serviços prestados às famílias,2024,01,Brasil,107.24257
 Outros serviços prestados às famílias,2024,02,Brasil,106.18297
 Outros serviços prestados às famílias,2024,03,Brasil,109.23027
 Outros serviços prestados às famílias,2024,04,Brasil,110.68936
 Outros serviços prestados às famílias,2024,05,Brasil,111.09139
 Outros serviços prestados às famílias,2024,06,Brasil,111.79831
 Outros serviços prestados às famílias,2024,07,Brasil,113.93419
 Outros serviços prestados às famílias,2024,08,Brasil,114.10895
 Outros serviços prestados às famílias,2024,09,Brasil,114.35348
 Telecomunicações,2020,10,Brasil,103.91955
 Telecomunicações,2020,11,Brasil,102.93063
 Telecomunicações,2020,12,Brasil,104.8573
 Telecomunicações,2021,01,Brasil,104.26335
 Telecomunicações,2021,02,Brasil,101.58356
 Telecomunicações,2021,03,Brasil,103.92068
 Telecomunicações,2021,04,Brasil,103.09077
 Telecomunicações,2021,05,Brasil,103.67834
 Telecomunicações,2021,06,Brasil,103.12069
 Telecomunicações,2021,07,Brasil,104.58601
 Telecomunicações,2021,08,Brasil,106.03726
 Telecomunicações,2021,09,Brasil,105.24365
 Telecomunicações,2021,10,Brasil,105.76
 Telecomunicações,2021,11,Brasil,106.03003
 Telecomunicações,2021,12,Brasil,106.92142
 Telecomunicações,2022,01,Brasil,104.01613
 Telecomunicações,2022,02,Brasil,98.16611
 Telecomunicações,2022,03,Brasil,99.81313
 Telecomunicações,2022,04,Brasil,98.79189
 Telecomunicações,2022,05,Brasil,100.7242
 Telecomunicações,2022,06,Brasil,101.80134
 Telecomunicações,2022,07,Brasil,100.13461
 Telecomunicações,2022,08,Brasil,99.70281
 Telecomunicações,2022,09,Brasil,100.29914
 Telecomunicações,2022,10,Brasil,98.57485
 Telecomunicações,2022,11,Brasil,98.4776
 Telecomunicações,2022,12,Brasil,99.49821
 Telecomunicações,2023,01,Brasil,100.44292
 Telecomunicações,2023,02,Brasil,99.35859
 Telecomunicações,2023,03,Brasil,102.6623
 Telecomunicações,2023,04,Brasil,102.20284
 Telecomunicações,2023,05,Brasil,104.67746
 Telecomunicações,2023,06,Brasil,103.78302
 Telecomunicações,2023,07,Brasil,104.93813
 Telecomunicações,2023,08,Brasil,105.62601
 Telecomunicações,2023,09,Brasil,105.14272
 Telecomunicações,2023,10,Brasil,106.82779
 Telecomunicações,2023,11,Brasil,106.23464
